Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
278,tt0166924,2020-06-18,2020-06-18,,Mulholland Dr.,https://www.imdb.com/title/tt0166924/,movie,7.9,147,2001,"Drama, Mystery, Thriller",380669,2001-05-16,David Lynch,,
279,tt0265666,2020-06-18,2020-06-18,,The Royal Tenenbaums,https://www.imdb.com/title/tt0265666/,movie,7.6,110,2001,"Comedy, Drama",311423,2001-10-05,Wes Anderson,,
280,tt0243133,2020-06-18,2020-06-18,,The Man Who Wasn't There,https://www.imdb.com/title/tt0243133/,movie,7.5,116,2001,"Crime, Drama",114471,2001-05-13,Joel Coen,,
281,tt0290673,2020-06-18,2020-06-18,,Irréversible,https://www.imdb.com/title/tt0290673/,movie,7.3,97,2002,"Crime, Drama, Mystery, Thriller",146311,2002-05-22,Gaspar Noé,,
282,tt1833116,2020-06-22,2020-06-22,,The Informer,https://www.imdb.com/title/tt1833116/,movie,6.6,113,2019,"Action, Crime, Drama, Thriller",41656,2019-08-30,Andrea Di Stefano,,
283,tt7121252,2020-06-25,2020-06-25,,Sulla mia pelle,https://www.imdb.com/title/tt7121252/,movie,7.3,100,2018,"Biography, Drama",10097,2018-08-29,Alessio Cremonini,,
284,tt0240419,2020-06-30,2020-06-30,,La Ciénaga,https://www.imdb.com/title/tt0240419/,movie,7.1,103,2001,"Comedy, Drama",7738,2001-02-08,Lucrecia Martel,,
285,tt0105744,2020-06-30,2020-06-30,,El viaje,https://www.imdb.com/title/tt0105744/,movie,7.1,150,1992,"Adventure, Drama",819,1992-04-30,Fernando E. Solanas,,
286,tt0283552,2020-06-30,2020-06-30,,El polaquito,https://www.imdb.com/title/tt0283552/,movie,6.8,92,2003,"Crime, Drama, Romance, Thriller",746,2003-03-22,Juan Carlos Desanzo,,
287,tt1695405,2020-07-01,2020-07-01,,The Loneliest Planet,https://www.imdb.com/title/tt1695405/,movie,5.5,113,2011,"Drama, Thriller",4287,2011-08-11,Julia Loktev,,
288,tt1023114,2020-07-01,2020-07-01,,The Way Back,https://www.imdb.com/title/tt1023114/,movie,7.3,133,2010,"Adventure, Drama, History",121502,2010-09-03,Peter Weir,,
289,tt2167266,2020-07-01,2020-07-01,,Tracks,https://www.imdb.com/title/tt2167266/,movie,7.1,112,2013,"Adventure, Biography, Drama",31540,2013-05-22,John Curran,,
290,tt0359950,2020-07-01,2020-07-01,,The Secret Life of Walter Mitty,https://www.imdb.com/title/tt0359950/,movie,7.3,114,2013,"Adventure, Comedy, Drama, Fantasy, Romance",338428,2013-10-05,Ben Stiller,,
291,tt0861739,2020-07-08,2020-07-08,,Tropa de Elite,https://www.imdb.com/title/tt0861739/,movie,8.0,115,2007,"Action, Crime, Drama, Thriller",109406,2007-08-17,José Padilha,,
292,tt1555149,2020-07-08,2020-07-08,,Tropa de Elite 2: O Inimigo Agora é Outro,https://www.imdb.com/title/tt1555149/,movie,8.0,115,2010,"Action, Crime, Drama, Thriller",86304,2010-10-08,José Padilha,,
293,tt0140888,2020-07-08,2020-07-08,,Central do Brasil,https://www.imdb.com/title/tt0140888/,movie,8.0,110,1998,Drama,41962,1998-01-16,Walter Salles,,
294,tt1280567,2020-07-08,2020-07-08,,Última Parada 174,https://www.imdb.com/title/tt1280567/,movie,7.1,110,2008,"Crime, Drama, Thriller",5547,2008-09-06,Bruno Barreto,,
295,tt0108160,2020-07-15,2020-07-15,,Sleepless in Seattle,https://www.imdb.com/title/tt0108160/,movie,6.8,105,1993,"Comedy, Drama, Romance",189462,1993-06-25,Nora Ephron,,
296,tt0382625,2020-07-15,2020-07-15,,The Da Vinci Code,https://www.imdb.com/title/tt0382625/,movie,6.6,149,2006,"Mystery, Thriller",456197,2006-05-17,Ron Howard,,
297,tt0808151,2020-07-15,2020-07-15,,Angels & Demons,https://www.imdb.com/title/tt0808151/,movie,6.7,138,2009,"Action, Mystery, Thriller",308061,2009-05-04,Ron Howard,,
298,tt8506788,2020-07-22,2020-07-22,,Sueño Florianópolis,https://www.imdb.com/title/tt8506788/,movie,6.4,106,2018,"Comedy, Drama, Romance",561,2018-07-04,Ana Katz,,
299,tt0322884,2020-07-22,2020-07-22,,El juego de la silla,https://www.imdb.com/title/tt0322884/,movie,6.7,93,2002,Comedy,186,2002-09-23,Ana Katz,,
300,tt0098621,2020-07-22,2020-07-22,,The War of the Roses,https://www.imdb.com/title/tt0098621/,movie,6.8,116,1989,"Comedy, Romance",56884,1989-12-04,Danny DeVito,,
301,tt0104466,2020-07-22,2020-07-22,,Husbands and Wives,https://www.imdb.com/title/tt0104466/,movie,7.5,108,1992,"Comedy, Drama, Romance",31045,1992-09-14,Woody Allen,,
302,tt0959337,2020-07-22,2020-07-22,,Revolutionary Road,https://www.imdb.com/title/tt0959337/,movie,7.3,119,2008,"Drama, Romance",223631,2008-12-15,Sam Mendes,,
303,tt0275491,2020-07-22,2020-07-22,,La mala educación,https://www.imdb.com/title/tt0275491/,movie,7.4,106,2004,"Crime, Drama",63148,2004-03-19,Pedro Almodóvar,,
304,tt0287467,2020-07-22,2020-07-22,,Hable con ella,https://www.imdb.com/title/tt0287467/,movie,7.9,112,2002,"Drama, Mystery, Romance",117017,2002-03-15,Pedro Almodóvar,,
305,tt1189073,2020-07-22,2020-07-22,,La piel que habito,https://www.imdb.com/title/tt1189073/,movie,7.6,120,2011,"Drama, Horror, Mystery, Thriller",164480,2011-05-19,Pedro Almodóvar,,
306,tt0185125,2020-07-22,2020-07-22,,Todo sobre mi madre,https://www.imdb.com/title/tt0185125/,movie,7.8,101,1999,"Comedy, Drama, Romance",102245,1999-04-08,Pedro Almodóvar,,
307,tt0109446,2020-07-27,2020-07-27,,The Client,https://www.imdb.com/title/tt0109446/,movie,6.7,119,1994,"Crime, Drama, Mystery, Thriller",73109,1994-07-20,Joel Schumacher,,
308,tt0313542,2020-07-27,2020-07-27,,Runaway Jury,https://www.imdb.com/title/tt0313542/,movie,7.1,127,2003,"Crime, Drama, Thriller",104012,2003-10-09,Gary Fleder,,
309,tt0102945,2020-07-27,2020-07-27,,Sleeping with the Enemy,https://www.imdb.com/title/tt0102945/,movie,6.3,99,1991,"Drama, Thriller",64532,1991-02-04,Joseph Ruben,,
310,tt0117913,2020-07-27,2020-07-27,,A Time to Kill,https://www.imdb.com/title/tt0117913/,movie,7.5,149,1996,"Crime, Drama, Thriller",180153,1996-07-24,Joel Schumacher,,
311,tt0251160,2020-07-27,2020-07-27,,John Q,https://www.imdb.com/title/tt0251160/,movie,7.1,116,2002,"Crime, Drama, Thriller",142813,2002-02-15,Nick Cassavetes,,
312,tt0174856,2020-07-27,2020-07-27,,The Hurricane,https://www.imdb.com/title/tt0174856/,movie,7.6,146,1999,"Biography, Drama, Sport",101921,1999-09-17,Norman Jewison,,
313,tt1385826,2020-08-16,2020-08-16,,The Adjustment Bureau,https://www.imdb.com/title/tt1385826/,movie,7.0,106,2011,"Crime, Drama, Mystery, Romance, Sci-Fi, Thriller",269072,2011-02-14,George Nolfi,,
